the_geom,feature,clugar,lugar,tipo,ubicacion,fechasuce,url,numvictima,municipio,radio,cartodb_id,created_at,updated_at
0101000020E61000002DC5ABA00CC1F9BF6E64B3CF526F4540,50200001,167,Fosa de Sorauren,No intervenida,La fosa podría encontrarse bajo un nogal en una zona de huertas.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=167,-1,Ezcabarte,50,68,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000006F1EF6E4B02F00C0FBF9200700304540,50200001,235,Fosa de La Veguilla,Intervenida,Paraje a orillas del río Ebro situado en el término municipal de Andosilla.,21/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=235,1,Andosilla,25,116,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000034ACE23A3E00FCBF90D73A4896294540,50200001,145,Cementerio de Marcilla,No intervenida,Cementerio de Marcilla.,16/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=145,3,Marcilla,50,46,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000098141457448EFABFC2FD218F0D3D4540,50200001,147,Cementerio de Olite,Intervenida,Cementerio de Olite.,30/08/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=147,8,Olite,50,48,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000062CABB0DC2ABFABFB55DEADC156C4540,50200001,66,Cementerio de Berriozar,Prospectada,"Cementerio situado en la ladera sur del monte San Cristobal, junto al núcleo antiguo de Berriozar.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=66,47,Berriozar,25,17,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000006A0426B67D6FF7BF1EFCA7B55D634540,50200001,189,Cementerio de Urroz,Intervenida,El cementerio se situa junto a la Cañada Real Milagro-Aezkoa.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=189,1,Urroz-Villa,50,90,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000008A605646A82700C05C1CD0DAA2524540,50200001,31,Fosa del Caserío de Echávarri,Intervenida,"La fosa podría ubicarse junto en las proximidades al Caserío de Echávarri, en la carretera NA-122 que va de Estella a Aberin.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=31,8,Estella-Lizarra,250,1,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000008AD6AD49FCB2F5BFE9A5EC98FD4D4540,50200001,33,Fosa de la Fuente del Garrero (Alto de Aibar),Intervenida,"La fosa está localizada en el paraje La Fuente del Garrero, a pocos kilómetros  del casco urbano de Aibar, junto a la carretera NA-534 que lleva a Lumbier en las proximidades del Alto de Aibar.",03/09/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=33,4,Aibar <> Oibar,25,2,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000CE443A32EF5500C08C3E82CA83534540,50200001,38,Fosa del Antiguo Cementerio de Ayegui,Intervenida,"La fosa estuvo ubicada fuera del antiguo cementerio de Ayegui, junto al camino de Santiago y próxima al Monasterio de Irache.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=38,5,Ayegui <> Aiegi,25,3,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000EBDD04EED299FABFFD36BBDB5F6D4540,50200001,42,Cementerio de las Botellas (Fuerte de San Cristóbal),Intervenida,"Cementerio de la prisión ubicado en la ladera norte del monte Ezcaba. Junto al fuerte de San Cristobal, en el término municipal de Berrioplano.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=42,131,Berrioplano <> Berriobeiti,10,4,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
